store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_001,11101,15.14
CA_1,HOBBIES_1_001,11102,16.03
CA_1,HOBBIES_1_001,11103,15.76
CA_1,HOBBIES_1_001,11104,15.71
CA_1,HOBBIES_1_001,11105,15.41
CA_2,HOBBIES_1_001,11101,23.74
CA_2,HOBBIES_1_001,11102,22.18
CA_2,HOBBIES_1_001,11103,22.87
CA_2,HOBBIES_1_001,11104,23.27
CA_2,HOBBIES_1_001,11105,23.21
TX_1,HOBBIES_1_001,11101,17.98
TX_1,HOBBIES_1_001,11102,18.44
TX_1,HOBBIES_1_001,11103,16.92
TX_1,HOBBIES_1_001,11104,17.67
TX_1,HOBBIES_1_001,11105,17.29
TX_3,HOBBIES_1_001,11101,20.48
TX_3,HOBBIES_1_001,11102,21.16
TX_3,HOBBIES_1_001,11103,19.82
TX_3,HOBBIES_1_001,11104,20.68
TX_3,HOBBIES_1_001,11105,20.79
WI_1,HOBBIES_1_001,11101,26.32
WI_1,HOBBIES_1_001,11102,25.42
WI_1,HOBBIES_1_001,11103,26.86
WI_1,HOBBIES_1_001,11104,25.67
WI_1,HOBBIES_1_001,11105,25.9
WI_3,HOBBIES_1_001,11101,40.69
WI_3,HOBBIES_1_001,11102,39.86
WI_3,HOBBIES_1_001,11103,42.49
WI_3,HOBBIES_1_001,11104,41.55
WI_3,HOBBIES_1_001,11105,43.28
CA_1,HOBBIES_1_008,11101,48.67
CA_1,HOBBIES_1_008,11102,48.75
CA_1,HOBBIES_1_008,11103,48.72
CA_1,HOBBIES_1_008,11104,48.31
CA_1,HOBBIES_1_008,11105,50.55
CA_2,HOBBIES_1_008,11101,38.35
CA_2,HOBBIES_1_008,11102,36.68
CA_2,HOBBIES_1_008,11103,37.7
CA_2,HOBBIES_1_008,11104,37.63
CA_2,HOBBIES_1_008,11105,39.63
TX_1,HOBBIES_1_008,11101,6.39
TX_1,HOBBIES_1_008,11102,6.31
TX_1,HOBBIES_1_008,11103,6.35
TX_1,HOBBIES_1_008,11104,6.16
TX_1,HOBBIES_1_008,11105,6.32
TX_3,HOBBIES_1_008,11101,32.07
TX_3,HOBBIES_1_008,11102,31.07
TX_3,HOBBIES_1_008,11103,31.15
TX_3,HOBBIES_1_008,11104,31.68
TX_3,HOBBIES_1_008,11105,30.01
WI_1,HOBBIES_1_008,11101,24.02
WI_1,HOBBIES_1_008,11102,21.88
WI_1,HOBBIES_1_008,11103,22.52
WI_1,HOBBIES_1_008,11104,22.51
WI_1,HOBBIES_1_008,11105,23.25
WI_3,HOBBIES_1_008,11101,7.17
WI_3,HOBBIES_1_008,11102,6.79
WI_3,HOBBIES_1_008,11103,6.79
WI_3,HOBBIES_1_008,11104,7.24
WI_3,HOBBIES_1_008,11105,6.95
CA_1,HOBBIES_2_004,11101,46.65
CA_1,HOBBIES_2_004,11102,48.65
CA_1,HOBBIES_2_004,11103,47.02
CA_1,HOBBIES_2_004,11104,48.19
CA_1,HOBBIES_2_004,11105,51.35
CA_2,HOBBIES_2_004,11101,42.65
CA_2,HOBBIES_2_004,11102,44.95
CA_2,HOBBIES_2_004,11103,45.32
CA_2,HOBBIES_2_004,11104,43.37
CA_2,HOBBIES_2_004,11105,43.08
TX_1,HOBBIES_2_004,11101,47.54
TX_1,HOBBIES_2_004,11102,47.64
TX_1,HOBBIES_2_004,11103,46.73
TX_1,HOBBIES_2_004,11104,46.15
TX_1,HOBBIES_2_004,11105,44.71
TX_3,HOBBIES_2_004,11101,9.8
TX_3,HOBBIES_2_004,11102,10.42
